2017-01-12 14:18:52,892 [Dummy-1:6372] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:18:52,926 [Dummy-1:6372] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:18:52,930 [Dummy-1:6372] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SHOW FULL TABLES; args=None
2017-01-12 14:18:52,938 [Dummy-1:6372] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2017-01-12 14:23:33,233 [Dummy-1:9168] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:23:33,263 [Dummy-1:9168] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:23:33,269 [Dummy-1:9168] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SHOW FULL TABLES; args=None
2017-01-12 14:23:33,275 [Dummy-1:9168] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2017-01-12 14:23:33,342 [Thread-2:5684] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:23:33,345 [Thread-2:5684] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT COUNT('*') AS `__count` FROM `develop_app_idc`; args=('*',)
2017-01-12 14:23:33,362 [Thread-2:5684] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc` LIMIT 2 OFFSET 24; args=()
2017-01-12 14:23:36,404 [Thread-3:1196] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:23:36,405 [Thread-3:1196] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT COUNT('*') AS `__count` FROM `develop_app_idc`; args=('*',)
